pageid,title,wikidata,label
18054317,Andrew Leung,Q4757753,Andrew Leung
19286656,Paul Chan Mo-po,Q7149777,Paul Chan Mo-po
24729662,Geoffrey Ma,Q5534758,Geoffrey Ma
32693613,Eric Chan,Q9439903,Eric Chan
36975435,Alice Mak (politician),Q4725987,Alice Mak
45329242,Horace Cheung,Q7237065,Horace Cheung
53722910,Dong Sun,Q30122220,Dong Sun
54399275,Michael Wong Wai-lun,Q30465932,Michael Wong Wai-lun
54399340,Kevin Yeung,Q9299188,Kevin Yeung
54399578,John Lee (government official),Q9051824,John Lee
54399696,Erick Tsang,Q30825347,Erick Tsang
62392192,Chris Tang,Q48914413,Tang Ping-keung
63734877,Christopher Hui,Q91408367,Christopher Hui
68047615,Raymond Siu,Q107340732,Raymond Siu
71068707,Paul Lam,Q67935929,Paul Lam
71265012,Lo Chung-mau,Q15922367,Lo Chung Mau
71271642,Warner Cheuk,Q10906089,Cheuk Wing-hing
