@@,item,name
---,Q69873826,
+++,Q7614821,何俊賢
+++,Q6313725,何君堯
+++,Q10886070,何啟明
+++,Q9015451,倪少傑
+++,Q9112403,劉國勳
+++,Q10899938,劉智鵬
+++,Q20065300,劉業強
+++,Q8991961,劉炳章
+++,Q7146985,劉秀成
+++,Q65052445,吳傑莊
+++,Q26211043,吳永嘉
+++,Q10919071,吳秋北
+++,Q111693324,周小松
+++,Q111511848,周文港
+++,Q19220,唐英年
+++,Q112040760,嚴　剛
+++,Q8053940,姚思榮
+++,Q26806487,姚松炎
+++,Q54355577,姚柏良
+++,Q24837388,容海恩
+++,Q4977895,廖成利
+++,Q5094254,張國柱
+++,Q7237065,張國鈞
+++,Q5094245,張學明
+++,Q110231739,張欣宇
+++,Q9138854,張漢忠
+++,Q5112099,張華峰
+++,Q5444657,張超雄
+++,Q13163830,方剛
+++,Q5491095,易志明
+++,Q9189462,曹王敏賢
+++,Q55708559,朱國強
+++,Q78123387,李世榮
+++,Q8421461,李國英
+++,Q6284882,李國麟
+++,Q111693256,李惟宏
+++,Q16923214,李梓敬
+++,,李浩然
+++,Q110405427,李鎮強
+++,Q6538773,李鳳英
+++,Q4731755,李鵬飛
+++,Q5367634,杜葉錫恩
+++,Q5217870,林偉強
+++,Q6176119,林健鋒
+++,Q110317082,林哲玄
+++,Q704032,林大輝
+++,Q111693353,林振昇
+++,Q17499907,林新強
+++,Q110405486,林智遠
+++,Q85881358,林琳
+++,Q22099789,林筱魯
+++,Q110246085,林素蔚
+++,Q7160679,林貝聿嘉
+++,Q11107186,林順潮
+++,Q9295550,柯創盛
+++,Q109453167,梁　熙
+++,Q9297490,梁子穎
+++,Q9297580,梁富華
+++,Q6534559,梁志祥
+++,Q15023,梁振英
+++,Q52397261,梁文廣
+++,Q110107956,梁毓偉
+++,Q23888514,梁頌恆
+++,Q97300575,楊永杰
+++,Q11119370,楊釗
+++,Q110645248,江玉歡
+++,Q110246083,洪雯
+++,Q21565062,游蕙禎
+++,Q7930020,湯家驊
+++,Q7129672,潘佩璆
+++,Q7228682,潘兆平
+++,Q7801860,狄志遠
+++,Q8032000,王國興
+++,Q9315837,王紹爾
+++,Q3051937,甘乃威
+++,Q12140214,盧偉國
+++,Q4669150,石禮謙
+++,Q72165052,管浩鳴
+++,,簡慧敏
+++,Q9426162,簡福飴
+++,Q9326753,羅叔清
+++,Q9327332,羅祥國
+++,Q8970908,胡經昌
+++,Q4254145,范國威
+++,Q5081014,莫乃光
+++,Q9333407,莫應帆
+++,Q6064852,葉偉明
+++,Q3051666,葉國謙
+++,Q6064839,葉建源
+++,Q6758325,蔡根培
+++,,蘇長荣
+++,Q8422611,袁武
+++,Q9342705,許賢發
+++,Q5541244,謝偉銓
+++,Q7410404,譚偉豪
+++,Q110246078,譚岳衡
+++,Q6761614,譚惠珠
+++,Q19849386,譚文豪
+++,Q6748342,譚香文
+++,Q9026378,邱達根
+++,Q13560952,邵家臻
+++,Q19853823,邵家輝
->,Q13642421,郭偉強->郭偉强
+++,Q110406068,郭玲麗
+++,Q15922830,鄧飛
+++,Q9087010,鄭明訓
+++,Q4709928,鄭經翰
+++,Q5091266,鄭耀棠
+++,Q9357271,鄺俊宇
+++,Q6450541,鄺志堅
+++,Q13634462,鍾國斌
+++,Q16923211,陳　勇
+++,Q60993101,陳仲尼
+++,Q5070327,陳健波
->,Q9367109,陳國強 (議員)->陳國強
+++,Q88913639,陳學鋒
+++,Q17499686,陳家珮
+++,Q4885408,陳恒鑌
+++,Q16908007,陳曼琪
+++,Q110786518,陳月明
+++,Q110406229,陳祖恒
+++,Q28932308,陳穎欣
+++,,陳紹雄
+++,Q7149777,陳茂波
+++,Q9441082,陳財喜
+++,Q110406242,陸瀚民
+++,Q26251804,陸頌雄
+++,Q8958593,霍啟剛
+++,Q48919459,顏汶羽
+++,Q9373927,顏錦全
+++,Q548908,麥國風
+++,Q110653364,黃俊碩
+++,Q11176005,黃元山
+++,,黃國
+++,Q8032036,黃定光
+++,Q6990785,黃成智
+++,Q9183028,黃英豪
->,Q855483,黄容根->黃容根
+++,Q372525,黎棟國
+++,Q110532471,龍漢標
